what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1510989213769
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1510989213770
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1510989213771
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1510989213771
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1510989213772
started,bundle,org.eclipse.team.core,3.5.100.R36x_v20100825-0800,"org.eclipse.team.core",1510989213772
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1510989213783
started,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1510989213784
started,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1510989213785
started,bundle,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui",1510989213786
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1510989213787
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1510989213787
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1510989213788
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1510989213789
started,bundle,org.eclipse.ui.intro,3.4.0.v20100427,"org.eclipse.ui.intro",1510989213790
started,bundle,org.eclipse.ui.intro.universal,3.2.402.r36_v20100702,"org.eclipse.ui.intro.universal",1510989213790
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1510989213790
started,bundle,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.resources",1510989213791
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1510989213791
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1510989213792
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1510989213793
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1510989213793
started,bundle,com.altera.sbtgui.project,12.0.0.178,"com.altera.sbtgui.project",1510989213794
os,sysinfo,,,"win32",1510989213797
arch,sysinfo,,,"x86",1510989213797
ws,sysinfo,,,"win32",1510989213797
locale,sysinfo,,,"zh_TW",1510989213797
processors,sysinfo,,,"4",1510989213797
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1510989213797
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1510989213797
java.specification.name,sysinfo,,,"Java Platform API Specification",1510989213797
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1510989213797
java.specification.version,sysinfo,,,"1.6",1510989213797
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1510989213797
java.version,sysinfo,,,"1.6.0_23",1510989213797
java.vm.info,sysinfo,,,"mixed mode",1510989213797
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1510989213797
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1510989213797
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1510989213797
java.vm.specification.version,sysinfo,,,"1.0",1510989213797
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1510989213797
java.vm.version,sysinfo,,,"19.0-b09",1510989213797
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1510989213803
